date,tracked-SYD,scheduled-SYD,tracked-DEL,scheduled-DEL,tracked-AMS,scheduled-AMS,tracked-CDG,scheduled-CDG,tracked-PVG,scheduled-PVG,tracked-HKG,scheduled-HKG,tracked-LHR,scheduled-LHR,tracked-ORD,scheduled-ORD,tracked-HND,scheduled-HND,tracked-LAX,scheduled-LAX,tracked-DXB,scheduled-DXB,tracked-PEK,scheduled-PEK,tracked-ATL,scheduled-ATL
2020-03-08,433,461,646,665,601,623,573,586,196,264,160,187,602,617,1262,1286,536,609,882,906,447,467,175,276,1166,1179
2020-03-09,424,459,626,650,612,638,521,574,181,248,154,173,596,616,1292,1326,512,599,885,921,390,454,166,281,1258,1268
2020-03-10,417,445,612,652,564,609,482,549,192,260,156,185,568,612,1279,1304,500,601,894,921,382,433,161,290,1258,1267
2020-03-11,436,465,653,679,557,600,492,573,193,279,154,192,554,608,1280,1315,492,590,895,935,401,446,162,306,1272,1284
2020-03-12,446,479,646,663,584,634,502,565,181,268,161,187,585,620,1307,1343,468,582,913,954,396,455,164,308,1309,1320
2020-03-13,420,457,638,671,581,630,525,589,201,303,155,207,587,608,1305,1338,451,573,937,978,397,441,173,322,1323,1339
2020-03-14,282,295,636,677,469,541,443,523,192,300,164,217,523,565,1189,1215,438,514,875,928,382,453,170,321,1159,1180
2020-03-15,441,495,629,678,538,669,443,637,201,341,132,201,560,633,1187,1242,442,630,839,896,363,485,196,407,1186,1208
2020-03-16,400,472,612,670,514,656,366,613,203,399,150,207,508,623,1270,1339,447,581,886,959,327,459,185,450,1295,1329
2020-03-17,358,455,575,671,403,632,289,592,202,406,147,207,392,577,1240,1317,434,571,866,949,285,452,164,462,1238,1322
2020-03-18,356,476,541,681,285,643,279,602,201,410,153,226,349,598,1202,1328,437,580,811,924,257,472,167,459,1202,1318
2020-03-19,346,486,478,672,300,669,260,614,204,389,154,225,340,605,1202,1357,480,606,808,970,249,473,151,453,1080,1337
2020-03-20,311,462,465,677,295,665,250,632,217,404,153,241,314,610,1132,1340,458,618,781,955,240,467,175,443,857,1339
2020-03-21,223,296,429,678,215,576,181,561,208,400,146,226,271,548,916,1236,441,606,672,923,195,454,165,412,890,1213
2020-03-22,303,488,258,665,228,639,194,569,199,355,124,194,258,578,842,1257,482,602,620,873,129,431,176,397,751,1227
2020-03-23,245,470,256,637,144,631,91,525,189,381,129,193,210,544,808,1347,437,548,589,919,86,385,147,384,641,1314
2020-03-24,195,449,218,636,127,594,86,499,205,393,144,209,187,499,762,1314,416,564,566,923,59,361,140,394,635,1317
2020-03-25,162,454,9,642,127,602,88,511,206,397,136,223,168,484,725,1318,425,580,539,911,3,366,145,399,635,1293
2020-03-26,159,478,7,631,127,626,86,477,197,387,126,226,186,520,646,1339,423,579,520,924,5,339,142,385,599,1304
2020-03-27,135,433,7,613,119,610,75,486,218,406,135,234,186,500,648,1324,444,579,461,923,7,301,157,401,561,1283
2020-03-28,65,284,5,600,86,531,64,443,214,420,130,230,171,440,619,1211,434,587,470,885,5,283,163,411,550,1156
2020-03-29,76,445,4,635,69,627,56,496,204,523,84,208,153,384,600,1254,434,639,451,851,4,270,159,576,505,1170
2020-03-30,67,429,4,597,56,559,42,418,182,487,101,211,111,332,593,1316,434,622,431,866,5,180,142,519,564,1212
2020-03-31,63,381,7,591,62,514,39,394,209,497,115,226,107,308,605,1309,427,619,441,864,5,166,147,550,492,1223
2020-04-01,63,363,7,629,59,510,42,401,180,508,113,271,84,326,579,1157,422,634,422,809,13,228,144,630,506,1227
2020-04-02,69,377,6,607,58,490,32,180,191,506,112,264,95,289,524,1127,414,613,368,814,8,201,111,598,473,1399
2020-04-03,66,336,11,597,64,505,44,197,199,498,125,262,94,260,586,1052,415,599,348,762,4,116,134,498,404,1317
2020-04-04,40,217,11,527,60,450,42,170,165,472,111,229,93,229,463,956,408,585,340,729,6,115,98,419,356,1146
2020-04-05,66,301,14,339,57,492,33,184,169,405,83,178,96,228,482,974,410,591,339,704,2,82,106,347,355,1175
2020-04-06,55,200,5,212,51,494,40,177,185,401,94,156,63,184,502,997,390,564,324,644,5,62,132,381,380,719
